

        *** EAGLE-TRT
        *** Telemetry Log File
        *** 12/15/2020, 18:12:54        

        *** Pilot: Mirco
        *** Race: Acceleration
        *** Circuit: Vadena        

(1608055974.428511) can0 202#903C000000000000
(1608055974.428837) can0 0B0#0100600500000000
(1608055974.429559) can0 201#90C4000000000000
(1608055974.429904) can0 0B0#02640105F50100A4
(1608055974.430234) can0 4EC#0041FFEE008E0000
(1608055974.430554) can0 202#903C000000000000
(1608055974.431291) can0 4ED#00040003FF9E0000
(1608055974.431649) can0 201#9000000000000000
(1608055974.432500) can0 202#9000000000000000
(1608055974.433528) can0 201#9000000000000000
(1608055974.434473) can0 4EC#0044FFE700870000
(1608055974.434815) can0 202#9000000000000000
(1608055974.435605) can0 201#9000000000000000
(1608055974.435949) can0 4ED#00040002FF9E0000
(1608055974.436517) can0 202#9000000000000000
(1608055974.437557) can0 201#9000000000000000
(1608055974.438552) can0 202#9000000000000000
(1608055974.438988) can0 4EC#0049FFE400880000
(1608055974.439492) can0 0C0#022DD60000000000
(1608055974.439838) can0 201#9000000000000000
(1608055974.440199) can0 4ED#00040003FF9E0000
(1608055974.440545) can0 182#4A864D02
(1608055974.440868) can0 202#9000000000000000
(1608055974.441209) can0 0C0#011388138B139032
(1608055974.441557) can0 182#A8000007
(1608055974.441888) can0 0C0#0001900194019004
(1608055974.442218) can0 201#9000000000000000
(1608055974.442553) can0 0D0#150309030900006B
(1608055974.442945) can0 202#9000000000000000
(1608055974.443368) can0 181#A8030007
(1608055974.443696) can0 182#5F000008
(1608055974.444010) can0 0D0#080000000000006B
(1608055974.444347) can0 201#9000000000000000
(1608055974.444692) can0 4EC#0045FFE600880000
(1608055974.445057) can0 0D0#0700000000000000
(1608055974.445419) can0 202#9000000000000000
(1608055974.445752) can0 4ED#00040003FF9E0000
(1608055974.446075) can0 181#5FFFFF08
(1608055974.446381) can0 182#495D2901
(1608055974.446695) can0 0D0#060000000000006B
(1608055974.447085) can0 201#9000000000000000
(1608055974.447423) can0 181#499C7F01
(1608055974.447773) can0 202#9000000000000000
(1608055974.448086) can0 182#EB153503
(1608055974.448424) can0 201#9000000000000000
(1608055974.448753) can0 4EC#0044FFE600910000
(1608055974.449058) can0 181#EBF33503
(1608055974.449403) can0 202#9000000000000000
(1608055974.449737) can0 4ED#00040002FF9E0000
(1608055974.450046) can0 182#8AFBFF04
(1608055974.450372) can0 201#9000000000000000
(1608055974.450657) can0 181#8AF7FF04
(1608055974.451033) can0 202#9000000000000000
(1608055974.451367) can0 182#F6000005
(1608055974.451696) can0 201#9000000000000000
(1608055974.452003) can0 181#F6000005
(1608055974.452362) can0 4EC#0045FFE800910000
(1608055974.452693) can0 202#9000000000000000
(1608055974.453135) can0 182#A0000006
(1608055974.453566) can0 201#9000000000000000
(1608055974.453939) can0 0B0#0101600500000000
(1608055974.454296) can0 4ED#00040002FF9E0000
(1608055974.454634) can0 181#A0000006
(1608055974.455058) can0 202#9000000000000000
(1608055974.455419) can0 0B0#02640105F501006E
(1608055974.455730) can0 0AA#0500070000
(1608055974.456047) can0 0AA#01421A379DD49A2C
(1608055974.456366) can0 201#9062000000000000
(1608055974.456712) can0 202#909E000000000000
(1608055974.457060) can0 4EC#003BFFED00940000
(1608055974.457640) can0 201#9062000000000000
(1608055974.458145) can0 4ED#00040003FF9E0000
(1608055974.458553) can0 202#909E000000000000
(1608055974.459604) can0 0C0#022DAF0000000000
(1608055974.459996) can0 201#9062000000000000
(1608055974.460582) can0 0C0#0113881386138B32
(1608055974.460959) can0 202#909E000000000000
(1608055974.461351) can0 4EC#003BFFEA00940000
(1608055974.461706) can0 0C0#0001900191019204
(1608055974.462039) can0 201#9062000000000000
(1608055974.462559) can0 0D0#150309030900006B
(1608055974.463119) can0 202#909E000000000000
(1608055974.463618) can0 4ED#00040002FF9E0000
(1608055974.464008) can0 0D0#080000000000006B
(1608055974.464467) can0 201#9062000000000000
(1608055974.464843) can0 0D0#0700000000000000
(1608055974.465211) can0 202#909E000000000000
(1608055974.465657) can0 0D0#060000000000006B
(1608055974.466107) can0 201#9062000000000000
(1608055974.466520) can0 4EC#0034FFEC008E0000
(1608055974.467020) can0 202#909E000000000000
(1608055974.467483) can0 4ED#00040003FF9D0000
(1608055974.467932) can0 201#9062000000000000
(1608055974.468703) can0 202#909E000000000000
(1608055974.469833) can0 201#9062000000000000
(1608055974.470386) can0 4EC#0032FFE700930000
(1608055974.470786) can0 202#909E000000000000
(1608055974.471711) can0 4ED#00040002FF9E0000
(1608055974.472188) can0 201#9062000000000000
(1608055974.472782) can0 202#909E000000000000
(1608055974.473639) can0 201#9062000000000000
(1608055974.474633) can0 202#909E000000000000
(1608055974.475049) can0 4EC#0042FFE6008F0000
(1608055974.475692) can0 201#9062000000000000
(1608055974.476058) can0 4ED#00040003FF9E0000
(1608055974.476543) can0 202#909E000000000000
(1608055974.477642) can0 201#9062000000000000
(1608055974.478594) can0 202#909E000000000000
(1608055974.479146) can0 0B0#0101600500000000
(1608055974.479617) can0 4EC#0041FFE7008E0000
(1608055974.479958) can0 0C0#022DBC0000000000
(1608055974.480417) can0 201#9062000000000000
(1608055974.481126) can0 0B0#02640105E801007B
(1608055974.481622) can0 4ED#00040003FF9E0000
(1608055974.481961) can0 0C0#0113861387138D32
(1608055974.482394) can0 202#909E000000000000
(1608055974.482740) can0 201#9062000000000000
(1608055974.483133) can0 0C0#0001920193019204
(1608055974.483643) can0 0D0#150309030900006B
(1608055974.483978) can0 202#909E000000000000
(1608055974.484411) can0 0D0#080000000000006B
(1608055974.484831) can0 201#9062000000000000
(1608055974.485273) can0 4EC#004AFFE9008E0000
(1608055974.485647) can0 0D0#0700000000000000
(1608055974.485950) can0 202#909E000000000000
(1608055974.486295) can0 4ED#00040003FF9E0000
(1608055974.486614) can0 0D0#060000000000006B
(1608055974.486964) can0 201#9062000000000000
(1608055974.487247) can0 202#909E000000000000
(1608055974.487614) can0 201#9062000000000000
(1608055974.488171) can0 4EC#004CFFE400900000
(1608055974.488566) can0 202#909E000000000000
(1608055974.489436) can0 4ED#00040003FF9E0000
(1608055974.489769) can0 201#9062000000000000
(1608055974.490540) can0 202#909E000000000000
(1608055974.491091) can0 181#4A044F02
(1608055974.491526) can0 182#A8040007
(1608055974.491859) can0 201#9062000000000000
(1608055974.492587) can0 202#909E000000000000
(1608055974.492994) can0 4EC#004AFFDE00910000
(1608055974.493372) can0 181#A8F8FF07
(1608055974.493775) can0 201#9062000000000000
(1608055974.494105) can0 4ED#00040003FF9E0000
(1608055974.494539) can0 202#909E000000000000
(1608055974.495601) can0 201#9062000000000000
(1608055974.496514) can0 202#909E000000000000
(1608055974.497105) can0 4EC#0043FFE9008F0000
(1608055974.497556) can0 201#9062000000000000
(1608055974.498367) can0 4ED#00040003FF9E0000
(1608055974.498702) can0 202#909E000000000000
(1608055974.499645) can0 201#9062000000000000
(1608055974.499991) can0 0C0#022DD60000000000
(1608055974.500503) can0 0C0#0113881388138A32
(1608055974.500835) can0 202#909E000000000000
(1608055974.501544) can0 0C0#0001910191019004
(1608055974.501886) can0 201#9062000000000000
(1608055974.502298) can0 4EC#0044FFEA008D0000
(1608055974.502734) can0 0D0#150309030900006B
(1608055974.503244) can0 202#909E000000000000
(1608055974.503682) can0 4ED#00040003FF9E0000
(1608055974.504018) can0 0D0#080000000000006B
(1608055974.504481) can0 201#9062000000000000
(1608055974.504833) can0 0B0#0102600500000000
(1608055974.505237) can0 0D0#0700000000000000
(1608055974.505589) can0 0B0#02640105E8010053
(1608055974.505988) can0 202#909E000000000000
(1608055974.506413) can0 0D0#060000000000006B
(1608055974.506744) can0 201#90C4000000000000
(1608055974.507290) can0 4EC#004DFFE600950000
(1608055974.507683) can0 202#903C000000000000
(1608055974.508011) can0 4ED#00040003FF9E0000
(1608055974.508366) can0 201#90C4000000000000
(1608055974.508673) can0 202#903C000000000000
